,1d_move_1p,choices,input_tokens,output_tokens,1d_move_3p,1d_fill,1d_move_dp,1d_move_2p,1d_hollow
standard_prompting,1,1,129607,45289.1,,,,,
standard_prompting,1,2,129607,90578.2,1.0,,,,
standard_prompting,1,3,129607,135867.3,2.0,,,,
standard_prompting,2,4,129607,181156.4,2.0,1.0,,,
standard_prompting,2,5,129607,226445.5,3.0,2.0,,,
standard_prompting,2,6,129607,271734.6,3.0,2.0,1.0,,
standard_prompting,2,7,129607,317023.7,3.0,2.0,1.0,,
standard_prompting,2,8,129607,362312.8,4.0,2.0,1.0,1.0,
standard_prompting,2,9,129607,407601.9,4.0,2.0,2.0,2.0,1.0
standard_prompting,3,10,129607,452891.0,4.0,2.0,2.0,2.0,1.0
